                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.5702,                 21.629,                 4.3613,                      0,                      0,                      0,                      0,                 6.8433,                 46.278,                 4.1588,                 0.0002,                 0.0002,                 0.0002
                      2,                 6.6654,                 28.584,                 4.2806,                      0,                      0,                      0,                      0,                 6.8436,                 46.268,                 4.1592,             0.00049995,             0.00049995,             0.00049995
                      3,                 6.6388,                 23.947,                 4.3032,                      0,                      0,                      0,                      0,                 6.8435,                 46.242,                 4.1595,             0.00079984,             0.00079984,             0.00079984
                      4,                 6.5585,                 20.824,                 4.3002,                      0,                      0,                      0,                      0,                 6.8435,                 46.241,                 4.1592,              0.0010997,              0.0010997,              0.0010997
                      5,                 6.6089,                  23.08,                 4.3087,                      0,                      0,                      0,                      0,                 6.8423,                 46.097,                 4.1588,              0.0013994,              0.0013994,              0.0013994
                      6,                 6.5665,                 16.927,                 4.2425,                      0,                      0,                      0,                      0,                 6.8419,                 46.191,                 4.1593,              0.0016992,              0.0016992,              0.0016992
                      7,                 6.5947,                 18.956,                 4.1546,                      0,                      0,                      0,                      0,                 6.8414,                  46.51,                 4.1603,              0.0019988,              0.0019988,              0.0019988
                      8,                 6.4601,                 18.783,                 4.0332,                      0,                      0,                      0,                      0,                  6.841,                 46.925,                 4.1612,              0.0022984,              0.0022984,              0.0022984
                      9,                 5.6263,                  13.81,                  3.972,                      0,                      0,                      0,                      0,                 6.8411,                  47.44,                 4.1646,              0.0025979,              0.0025979,              0.0025979
                     10,                 4.3496,                 8.6234,                 3.6859,                      0,                      0,                      0,                      0,                 6.8404,                 47.882,                 4.1691,              0.0028974,              0.0028974,              0.0028974
                     11,                 4.0168,                 6.2083,                 3.1111,                      0,                      0,                      0,                      0,                 6.8404,                 48.656,                 4.1743,              0.0031968,              0.0031968,              0.0031968
                     12,                 3.5433,                 4.9223,                 2.5798,                      0,                      0,                      0,                      0,                  6.841,                 44.724,                 4.1802,              0.0034962,              0.0034962,              0.0034962
                     13,                 3.0165,                  3.939,                 2.1517,                      0,                      0,                      0,                      0,                 6.8427,                 44.971,                 4.1908,              0.0037955,              0.0037955,              0.0037955
                     14,                 2.8552,                 3.4827,                 1.9153,                      0,                      0,                      0,                      0,                  6.844,                 46.255,                  4.204,              0.0040947,              0.0040947,              0.0040947
                     15,                 2.7478,                 3.2312,                 1.7846,                      0,                      0,                      0,                      0,                 6.8462,                 47.913,                 4.2197,              0.0043939,              0.0043939,              0.0043939
                     16,                 2.5764,                 3.0792,                 1.6999,                      0,                      0,                      0,                      0,                 6.8479,                 49.577,                 4.2375,               0.004693,               0.004693,               0.004693
                     17,                 2.5495,                 2.9565,                 1.6306,                      0,                      0,                      0,                      0,                 6.8492,                 51.434,                  4.253,              0.0049921,              0.0049921,              0.0049921
                     18,                 2.3279,                  2.743,                 1.4346,                      0,                      0,                      0,                      0,                 6.8528,                 54.127,                 4.2764,              0.0052911,              0.0052911,              0.0052911
