                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4929,                 25.935,                 4.2803,                      0,                      0,                      0,                      0,                  6.654,                 11.443,                 4.1602,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 6.6026,                 24.434,                 4.2844,                      0,                      0,                      0,                      0,                 6.6541,                 11.442,                 4.1614,             4.2828e-05,             4.2828e-05,             4.2828e-05
                      3,                 6.6425,                 23.689,                 4.2712,                      0,                      0,                      0,                      0,                 6.6544,                 11.446,                 4.1625,             7.1309e-05,             7.1309e-05,             7.1309e-05
                      4,                 6.4809,                 24.384,                 4.3582,                      0,                      0,                      0,                      0,                 6.6546,                 11.442,                 4.1639,             9.9733e-05,             9.9733e-05,             9.9733e-05
                      5,                 6.5993,                 23.755,                 4.2568,                      0,                      0,                      0,                      0,                  6.655,                 11.446,                 4.1646,              0.0001281,              0.0001281,              0.0001281
                      6,                 6.2793,                  22.39,                 4.2802,                      0,                      0,                      0,                      0,                  6.655,                 11.444,                  4.166,             0.00015641,             0.00015641,             0.00015641
                      7,                  6.513,                 20.715,                 4.1521,                      0,                      0,                      0,                      0,                 6.6553,                 11.463,                 4.1669,             0.00018467,             0.00018467,             0.00018467
                      8,                 6.3591,                  19.77,                 4.0451,                      0,                      0,                      0,                      0,                 6.6555,                 11.494,                 4.1695,             0.00021286,             0.00021286,             0.00021286
                      9,                 6.0343,                 19.609,                 4.0356,                      0,                      0,                      0,                      0,                 6.6555,                 11.526,                 4.1735,             0.00024101,             0.00024101,             0.00024101
                     10,                 5.9483,                 16.654,                 3.7865,                      0,                      0,                      0,                      0,                 6.6562,                 11.551,                 4.1782,             0.00026909,             0.00026909,             0.00026909
                     11,                 4.9299,                 10.719,                 3.7034,                      0,                      0,                      0,                      0,                 6.6579,                 11.601,                 4.1839,             0.00029712,             0.00029712,             0.00029712
                     12,                 4.4578,                 7.6896,                 3.3958,                      0,                      0,                      0,                      0,                 6.6592,                 11.678,                 4.1916,             0.00032509,             0.00032509,             0.00032509
                     13,                 4.1771,                 7.2201,                 3.0189,                      0,                      0,                      0,                      0,                 6.6602,                 11.742,                 4.1997,             0.00035301,             0.00035301,             0.00035301
                     14,                 3.5505,                 5.6225,                 2.8489,                      0,                      0,                      0,                      0,                 6.6619,                 11.818,                 4.2106,             0.00038086,             0.00038086,             0.00038086
                     15,                 3.2779,                 5.1082,                 2.4413,                      0,                      0,                      0,                      0,                 6.6637,                 11.771,                 4.2227,             0.00040867,             0.00040867,             0.00040867
                     16,                 2.8605,                 4.2125,                 2.3537,                      0,                      0,                      0,                      0,                 6.6649,                 11.332,                 4.2362,             0.00043641,             0.00043641,             0.00043641
                     17,                 2.9597,                 4.1883,                   2.07,                      0,                      0,                      0,                      0,                 6.6664,                 11.414,                 4.2477,              0.0004641,              0.0004641,              0.0004641
                     18,                 2.6969,                 3.8748,                 2.0157,                      0,                      0,                      0,                      0,                 6.6684,                 11.506,                 4.2576,             0.00049173,             0.00049173,             0.00049173
                     19,                 2.5232,                 3.5724,                 1.8163,                      0,                      0,                      0,                      0,                 6.6695,                  11.37,                 4.2697,             0.00051931,             0.00051931,             0.00051931
                     20,                 2.4014,                 3.4205,                 1.7996,                      0,                      0,                      0,                      0,                 6.6708,                  11.46,                 4.2825,             0.00054683,             0.00054683,             0.00054683
                     21,                 2.3419,                 3.3001,                 1.7101,                      0,                      0,                      0,                      0,                 6.6725,                 11.567,                 4.2989,             0.00057429,             0.00057429,             0.00057429
                     22,                 2.2586,                  3.108,                  1.686,                      0,                      0,                      0,                      0,                 6.6757,                   11.8,                 4.3151,              0.0006017,              0.0006017,              0.0006017
                     23,                 2.2513,                 3.1016,                 1.5779,                      0,                      0,                      0,                      0,                 6.6755,                 12.242,                 4.3295,             0.00062904,             0.00062904,             0.00062904
                     24,                 2.0809,                  2.884,                 1.5149,                      0,                      0,                      0,                      0,                 6.6762,                 12.408,                  4.335,             0.00065634,             0.00065634,             0.00065634
                     25,                 2.0367,                 2.8403,                  1.437,                      0,                      0,                      0,                      0,                 6.6761,                 12.579,                 4.3445,             0.00068357,             0.00068357,             0.00068357
